epoch,accuracy,loss,val_accuracy,val_loss
0,0.6029446721076965,1.3331903219223022,0.8607988357543945,0.44958677887916565
1,0.8101097345352173,0.6104940176010132,0.8953599333763123,0.3284662663936615
2,0.8477290272712708,0.4813039302825928,0.9052858352661133,0.28753823041915894
3,0.8657745718955994,0.41902467608451843,0.9147332906723022,0.26199570298194885
4,0.8801923990249634,0.37514400482177734,0.9198756217956543,0.24225933849811554
5,0.8887367844581604,0.34777095913887024,0.9245395660400391,0.2326929271221161
6,0.8974140882492065,0.3176780939102173,0.9274097084999084,0.22788630425930023
7,0.9018922448158264,0.302298903465271,0.9275292754173279,0.21860069036483765
8,0.9072076082229614,0.2825978398323059,0.9275292754173279,0.22526130080223083
9,0.9117123484611511,0.27092504501342773,0.9287251830101013,0.2250591665506363
