epoch;accuracy;loss;val_accuracy;val_loss
0;0.6087517142295837;1.3114920854568481;0.8593637943267822;0.4455113708972931
1;0.812647819519043;0.5967360138893127;0.8911743760108948;0.33600422739982605
2;0.8524463772773743;0.46867960691452026;0.9051662087440491;0.2822173237800598
0;0.6107449531555176;1.3090620040893555;0.8624730706214905;0.44617244601249695
0;0.6128445267677307;1.2983216047286987;0.864027738571167;0.43491289019584656
0;0.6176681518554688;1.2850536108016968;0.8597225546836853;0.44642430543899536
0;0.607117235660553;1.3185895681381226;0.8652236461639404;0.43735167384147644
1;0.8140829801559448;0.5970242023468018;0.8945228457450867;0.3258516788482666
0;0.6275281310081482;1.2491474151611328;0.8635494112968445;0.4325490891933441
0;0.6195285320281982;1.2826372385025024;0.8641473054885864;0.42303863167762756
1;0.8228399753570557;0.5661234855651855;0.8976321220397949;0.31384792923927307
2;0.8597018122673035;0.4465266168117523;0.9093518257141113;0.2728799283504486
